,open,high,low,close,volume,Ticker,Date
279919,163.75,163.75,163.75,163.75,550,AAPL,2023-04-10 05:00:00
279920,163.77,163.77,163.57,163.57,1550,AAPL,2023-04-10 05:05:00
279921,163.72,163.72,163.72,163.72,1663,AAPL,2023-04-10 05:15:00
279922,163.8,163.8,163.8,163.8,644,AAPL,2023-04-10 05:20:00
279923,163.7,163.7,163.68,163.68,533,AAPL,2023-04-10 05:30:00
279924,163.76,163.78,163.76,163.78,4848,AAPL,2023-04-10 05:40:00
279925,163.88,163.97,163.86,163.97,4805,AAPL,2023-04-10 05:45:00
279926,163.95,163.95,163.85,163.85,532,AAPL,2023-04-10 05:50:00
279927,163.8,163.8,163.8,163.8,1279,AAPL,2023-04-10 05:55:00
279928,163.8,163.8,163.69,163.75,1615,AAPL,2023-04-10 06:05:00
279929,163.71,163.71,163.69,163.7,718,AAPL,2023-04-10 06:10:00
279930,163.68,163.78,163.68,163.78,1882,AAPL,2023-04-10 06:15:00
279931,163.78,163.98,163.78,163.89,2958,AAPL,2023-04-10 06:20:00
279932,163.78,163.78,163.78,163.78,794,AAPL,2023-04-10 06:25:00
279933,163.85,163.85,163.85,163.85,807,AAPL,2023-04-10 06:35:00
279934,163.8,163.8,163.8,163.8,206,AAPL,2023-04-10 06:40:00
279935,163.66,163.66,163.23,163.23,5041,AAPL,2023-04-10 06:50:00
279936,163.63,163.68,163.48,163.58,5835,AAPL,2023-04-10 06:55:00
279937,163.46,163.47,163.25,163.32,6469,AAPL,2023-04-10 07:00:00
279938,163.6,163.64,163.44,163.44,10931,AAPL,2023-04-10 07:05:00
279939,163.45,163.5,163.45,163.5,4247,AAPL,2023-04-10 07:10:00
279940,163.5,163.55,163.5,163.55,1980,AAPL,2023-04-10 07:15:00
279941,163.53,163.53,163.35,163.35,18933,AAPL,2023-04-10 07:20:00
279942,163.31,163.31,163.26,163.27,2209,AAPL,2023-04-10 07:25:00
279943,163.31,163.31,163.1,163.17,8014,AAPL,2023-04-10 07:30:00
279944,163.12,163.12,162.5,162.76,20304,AAPL,2023-04-10 07:35:00
279945,162.75,162.75,162.7,162.75,3191,AAPL,2023-04-10 07:40:00
279946,162.8,162.87,162.79,162.79,4897,AAPL,2023-04-10 07:45:00
279947,162.76,162.76,162.56,162.56,11826,AAPL,2023-04-10 07:50:00
279948,162.68,162.8,162.68,162.8,13315,AAPL,2023-04-10 07:55:00
279949,162.77,162.8,162.73,162.75,7639,AAPL,2023-04-10 08:00:00
279950,163.35,163.75,162.55,162.75,66579,AAPL,2023-04-10 08:05:00
279951,162.74,162.8591,162.55,162.8,24830,AAPL,2023-04-10 08:10:00
279952,162.8499,162.8499,162.58,162.6383,18867,AAPL,2023-04-10 08:15:00
279953,162.6,162.6252,162.5,162.55,36906,AAPL,2023-04-10 08:20:00
279954,162.5505,162.59,162.48,162.5717,19909,AAPL,2023-04-10 08:25:00
279955,162.5099,162.56,162.33,162.4,33859,AAPL,2023-04-10 08:30:00
279956,162.46,162.48,162.4,162.45,17518,AAPL,2023-04-10 08:35:00
279957,162.4,162.56,162.4,162.53,27835,AAPL,2023-04-10 08:40:00
279958,162.55,162.6,162.54,162.55,21392,AAPL,2023-04-10 08:45:00
279959,162.5013,162.55,162.48,162.5,7855,AAPL,2023-04-10 08:50:00
279960,162.5,162.64,162.47,162.6,12062,AAPL,2023-04-10 08:55:00
279961,162.5128,162.63,162.45,162.55,17358,AAPL,2023-04-10 09:00:00
279962,162.55,162.61,162.45,162.5,14131,AAPL,2023-04-10 09:05:00
279963,162.5,162.55,162.4,162.4,30596,AAPL,2023-04-10 09:10:00
279964,162.41,162.4844,162.39,162.44,9042,AAPL,2023-04-10 09:15:00
279965,162.4007,162.44,162.18,162.18,27045,AAPL,2023-04-10 09:20:00
279966,162.2,162.27,162.11,162.16,56622,AAPL,2023-04-10 09:25:00
279967,162.15,162.15,161.2,161.39,204892,AAPL,2023-04-10 09:30:00
279968,161.42,162.0,161.37,161.53,2678474,AAPL,2023-04-10 09:35:00
279969,161.53,161.63,160.83,161.17,1755858,AAPL,2023-04-10 09:40:00
279971,160.89,160.9,160.22,160.28,1449565,AAPL,2023-04-10 09:50:00
279972,160.275,160.4907,160.08,160.4907,1562772,AAPL,2023-04-10 09:55:00
279973,160.49,160.67,160.36,160.4712,1027740,AAPL,2023-04-10 10:00:00
279974,160.47,160.56,160.185,160.5499,801390,AAPL,2023-04-10 10:05:00
279975,160.55,160.63,160.28,160.375,761118,AAPL,2023-04-10 10:10:00
279976,160.3787,160.73,160.37,160.49,809442,AAPL,2023-04-10 10:15:00
279977,160.4823,160.68,160.35,160.38,890638,AAPL,2023-04-10 10:20:00
279978,160.38,160.5287,160.19,160.5,660391,AAPL,2023-04-10 10:25:00
279979,160.5,160.5983,160.09,160.155,645716,AAPL,2023-04-10 10:30:00
279980,160.16,160.44,160.145,160.37,592935,AAPL,2023-04-10 10:35:00
279981,160.365,160.56,160.25,160.5099,513934,AAPL,2023-04-10 10:40:00
279982,160.5,160.79,160.44,160.74,493360,AAPL,2023-04-10 10:45:00
279983,160.73,160.82,160.55,160.815,603821,AAPL,2023-04-10 10:50:00
279984,160.815,160.815,160.505,160.59,817691,AAPL,2023-04-10 10:55:00
279985,160.59,160.74,160.52,160.545,441055,AAPL,2023-04-10 11:00:00
279986,160.545,160.94,160.53,160.795,563390,AAPL,2023-04-10 11:05:00
279987,160.7915,161.1,160.78,161.0601,534759,AAPL,2023-04-10 11:10:00
279988,161.06,161.3793,161.0519,161.32,691751,AAPL,2023-04-10 11:15:00
279989,161.3214,161.4,161.23,161.255,558408,AAPL,2023-04-10 11:20:00
279990,161.27,161.3899,161.1,161.11,421284,AAPL,2023-04-10 11:25:00
279991,161.1101,161.19,161.05,161.135,394674,AAPL,2023-04-10 11:30:00
279992,161.1408,161.34,161.07,161.323,335611,AAPL,2023-04-10 11:35:00
279993,161.32,161.49,161.25,161.47,484493,AAPL,2023-04-10 11:40:00
279994,161.48,161.61,161.4111,161.58,463096,AAPL,2023-04-10 11:45:00
279995,161.58,161.58,161.335,161.435,330769,AAPL,2023-04-10 11:50:00
279996,161.445,161.4799,161.3,161.3301,280756,AAPL,2023-04-10 11:55:00
279997,161.32,161.33,161.08,161.1008,373656,AAPL,2023-04-10 12:00:00
279998,161.1,161.1492,160.8301,160.8901,422879,AAPL,2023-04-10 12:05:00
279999,160.9,160.9,160.6,160.81,577186,AAPL,2023-04-10 12:10:00
280000,160.815,160.815,160.62,160.67,304434,AAPL,2023-04-10 12:15:00
280001,160.66,160.76,160.64,160.6912,248572,AAPL,2023-04-10 12:20:00
280002,160.695,160.85,160.665,160.8072,278761,AAPL,2023-04-10 12:25:00
280003,160.8,160.87,160.76,160.8208,230834,AAPL,2023-04-10 12:30:00
280004,160.83,161.11,160.82,161.07,357352,AAPL,2023-04-10 12:35:00
280005,161.075,161.58,161.075,161.4786,614567,AAPL,2023-04-10 12:40:00
280006,161.48,161.56,161.4,161.435,382312,AAPL,2023-04-10 12:45:00
280007,161.435,161.6131,161.43,161.53,389023,AAPL,2023-04-10 12:50:00
280008,161.525,161.55,161.3,161.33,357598,AAPL,2023-04-10 12:55:00
280009,161.32,161.435,161.3101,161.4,251330,AAPL,2023-04-10 13:00:00
280010,161.41,161.53,161.28,161.36,379476,AAPL,2023-04-10 13:05:00
280011,161.35,161.48,161.32,161.37,268727,AAPL,2023-04-10 13:10:00
280012,161.36,161.45,161.19,161.27,372027,AAPL,2023-04-10 13:15:00
280013,161.261,161.455,161.1701,161.375,306207,AAPL,2023-04-10 13:20:00
280014,161.375,161.39,161.2616,161.315,261379,AAPL,2023-04-10 13:25:00
280015,161.32,161.575,161.31,161.5699,358253,AAPL,2023-04-10 13:30:00
280016,161.57,161.63,161.461,161.55,323744,AAPL,2023-04-10 13:35:00
280017,161.5413,161.56,161.43,161.45,213804,AAPL,2023-04-10 13:40:00
280018,161.46,161.52,161.31,161.435,283261,AAPL,2023-04-10 13:45:00
280019,161.44,161.63,161.3828,161.5101,325508,AAPL,2023-04-10 13:50:00
280020,161.525,161.59,161.36,161.3899,255553,AAPL,2023-04-10 13:55:00
280021,161.38,161.49,161.34,161.435,244231,AAPL,2023-04-10 14:00:00
280022,161.44,161.505,161.34,161.5,298262,AAPL,2023-04-10 14:05:00
280023,161.505,161.63,161.47,161.47,303294,AAPL,2023-04-10 14:10:00
280024,161.48,161.68,161.44,161.6229,285256,AAPL,2023-04-10 14:15:00
280025,161.63,161.8,161.62,161.7699,383511,AAPL,2023-04-10 14:20:00
280026,161.765,161.84,161.75,161.76,300281,AAPL,2023-04-10 14:25:00
280027,161.7604,161.82,161.68,161.715,244946,AAPL,2023-04-10 14:30:00
280028,161.72,161.77,161.65,161.665,281087,AAPL,2023-04-10 14:35:00
280029,161.665,161.69,161.55,161.605,236083,AAPL,2023-04-10 14:40:00
280030,161.615,161.6299,161.43,161.47,268127,AAPL,2023-04-10 14:45:00
280031,161.47,161.58,161.435,161.545,279038,AAPL,2023-04-10 14:50:00
280032,161.54,161.7199,161.54,161.6884,285432,AAPL,2023-04-10 14:55:00
280033,161.69,161.76,161.67,161.72,310755,AAPL,2023-04-10 15:00:00
280034,161.73,161.799,161.59,161.68,331399,AAPL,2023-04-10 15:05:00
280035,161.69,161.71,161.55,161.6464,338664,AAPL,2023-04-10 15:10:00
280036,161.65,161.69,161.5,161.53,299727,AAPL,2023-04-10 15:15:00
280037,161.53,161.73,161.51,161.725,344860,AAPL,2023-04-10 15:20:00
280038,161.725,161.7801,161.605,161.63,397667,AAPL,2023-04-10 15:25:00
280039,161.63,161.665,161.5811,161.5892,293818,AAPL,2023-04-10 15:30:00
280040,161.59,161.7001,161.55,161.63,413152,AAPL,2023-04-10 15:35:00
280041,161.625,161.83,161.61,161.8201,528535,AAPL,2023-04-10 15:40:00
280042,161.82,161.94,161.74,161.7599,678466,AAPL,2023-04-10 15:45:00
280043,161.755,161.8,161.665,161.77,543763,AAPL,2023-04-10 15:50:00
280044,161.77,161.88,161.67,161.7499,898312,AAPL,2023-04-10 15:55:00
280045,161.75,162.03,161.74,162.025,1714778,AAPL,2023-04-10 16:00:00
280046,162.01,162.05,161.93,162.04,956996,AAPL,2023-04-10 16:05:00
280047,162.03,162.06,162.03,162.05,122459,AAPL,2023-04-10 16:10:00
280048,162.04,162.05,162.03,162.03,38388,AAPL,2023-04-10 16:15:00
280049,162.06,162.09,162.03,162.05,8256,AAPL,2023-04-10 16:20:00
280050,162.04,162.08,162.03,162.05,105092,AAPL,2023-04-10 16:25:00
280051,162.0599,162.09,162.05,162.09,9006,AAPL,2023-04-10 16:30:00
280052,162.13,162.19,162.03,162.03,44506,AAPL,2023-04-10 16:35:00
280053,162.13,162.13,162.03,162.11,543283,AAPL,2023-04-10 16:40:00
280054,162.11,162.13,162.11,162.13,3164,AAPL,2023-04-10 16:45:00
280055,162.11,162.11,162.07,162.07,4299,AAPL,2023-04-10 16:50:00
280056,162.0601,162.08,162.0601,162.08,1109,AAPL,2023-04-10 16:55:00
280057,162.08,162.12,162.06,162.06,4228,AAPL,2023-04-10 17:00:00
280058,162.0428,162.1,162.04,162.06,2741,AAPL,2023-04-10 17:05:00
280059,162.04,162.0599,161.98,161.98,13074,AAPL,2023-04-10 17:10:00
280060,161.98,162.0,161.95,161.95,8798,AAPL,2023-04-10 17:15:00
280061,161.98,161.98,161.95,161.97,2205,AAPL,2023-04-10 17:20:00
280062,161.97,161.98,161.95,161.97,2185,AAPL,2023-04-10 17:25:00
280063,161.97,161.97,161.95,161.95,789,AAPL,2023-04-10 17:30:00
280064,161.96,161.96,161.95,161.95,1035,AAPL,2023-04-10 17:35:00
280065,161.96,161.96,161.95,161.96,1646,AAPL,2023-04-10 17:40:00
280066,161.95,161.96,161.95,161.96,1246,AAPL,2023-04-10 17:45:00
280067,161.97,161.98,161.95,161.98,1367,AAPL,2023-04-10 17:50:00
280068,161.93,161.9304,161.93,161.9304,769,AAPL,2023-04-10 17:55:00
280069,161.93,161.95,161.91,161.93,1295,AAPL,2023-04-10 18:00:00
280070,161.91,161.95,161.91,161.95,1453,AAPL,2023-04-10 18:05:00
280071,161.92,161.94,161.92,161.9213,2452,AAPL,2023-04-10 18:10:00
280072,161.98,161.99,161.96,161.99,1415,AAPL,2023-04-10 18:15:00
280073,161.99,161.99,161.95,161.95,2365,AAPL,2023-04-10 18:20:00
280074,161.97,162.0,161.97,162.0,986,AAPL,2023-04-10 18:25:00
280075,162.03,162.05,162.03,162.05,2565,AAPL,2023-04-10 18:30:00
280076,162.07,162.07,162.07,162.07,982,AAPL,2023-04-10 18:35:00
280077,162.07,162.07,162.05,162.05,401,AAPL,2023-04-10 18:40:00
280078,162.0401,162.099,162.04,162.05,10023,AAPL,2023-04-10 18:45:00
280079,162.03,162.03,162.03,162.03,562,AAPL,2023-04-10 18:50:00
280080,162.03,162.03,162.03,162.03,165,AAPL,2023-04-10 18:55:00
280081,162.03,162.0484,162.01,162.01,1148,AAPL,2023-04-10 19:00:00
280082,162.01,162.02,162.01,162.02,889,AAPL,2023-04-10 19:05:00
280083,162.03,162.03,162.02,162.02,1546,AAPL,2023-04-10 19:10:00
280084,162.04,162.04,162.03,162.03,1198,AAPL,2023-04-10 19:15:00
280085,162.04,162.05,162.04,162.05,790,AAPL,2023-04-10 19:20:00
280086,162.05,162.05,162.05,162.05,586,AAPL,2023-04-10 19:25:00
280087,162.06,162.06,162.02,162.02,1028,AAPL,2023-04-10 19:30:00
280088,162.04,162.08,162.02,162.08,2595,AAPL,2023-04-10 19:35:00
280089,162.1,162.2,162.1,162.2,2970,AAPL,2023-04-10 19:40:00
280090,162.1399,162.14,162.1,162.12,3366,AAPL,2023-04-10 19:55:00
280091,162.14,162.2,162.11,162.2,5621,AAPL,2023-04-10 20:00:00
280092,162.02,162.65,162.02,162.2,7449,AAPL,2023-04-11 04:05:00
280093,162.26,162.26,162.26,162.26,781,AAPL,2023-04-11 04:10:00
280094,162.26,162.3,162.26,162.3,2309,AAPL,2023-04-11 04:15:00
280095,162.35,162.35,162.35,162.35,607,AAPL,2023-04-11 04:20:00
280096,162.37,162.37,162.35,162.35,622,AAPL,2023-04-11 04:25:00
280097,162.39,162.41,162.39,162.39,934,AAPL,2023-04-11 04:30:00
280098,162.28,162.28,162.28,162.28,221,AAPL,2023-04-11 04:35:00
280099,162.3,162.3,162.3,162.3,2100,AAPL,2023-04-11 04:40:00
280100,162.34,162.34,162.31,162.31,1097,AAPL,2023-04-11 04:45:00
280102,162.2,162.21,162.2,162.21,619,AAPL,2023-04-11 04:55:00
280103,162.3,162.33,162.3,162.33,5899,AAPL,2023-04-11 05:00:00
280104,162.4,162.4,162.4,162.4,255,AAPL,2023-04-11 05:05:00
280105,162.32,162.32,162.32,162.32,544,AAPL,2023-04-11 05:10:00
280106,162.21,162.21,162.2,162.2,1297,AAPL,2023-04-11 05:25:00
